2023-05-25 17:13:02,975 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-05-25 17:13:02,976 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Configure stats pid to 80353
2023-05-25 17:13:02,976 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Loading settings from /Users/Ruik/.config/wandb/settings
2023-05-25 17:13:02,976 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Loading settings from /Users/Ruik/CompterScience/条码二维码/YOLOv5-Lite-master/wandb/settings
2023-05-25 17:13:02,976 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-25 17:13:02,976 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-25 17:13:02,976 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2023-05-25 17:13:02,976 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2023-05-25 17:13:02,976 INFO    MainThread:80353 [wandb_init.py:_log_setup():507] Logging user logs to /Users/Ruik/CompterScience/条码二维码/YOLOv5-Lite-master/wandb/offline-run-20230525_171302-540rqouw/logs/debug.log
2023-05-25 17:13:02,976 INFO    MainThread:80353 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/Ruik/CompterScience/条码二维码/YOLOv5-Lite-master/wandb/offline-run-20230525_171302-540rqouw/logs/debug-internal.log
2023-05-25 17:13:02,976 INFO    MainThread:80353 [wandb_init.py:init():547] calling init triggers
2023-05-25 17:13:02,977 INFO    MainThread:80353 [wandb_init.py:init():555] wandb.init called with sweep_config: {}
config: {'weights': 'v5lite-e.pt', 'cfg': './models/v5lite-e.yaml', 'data': './data/coco128.yaml', 'hyp': {'lr0': 0.001, 'lrf': 0.2, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.5, 'cls_pw': 1.0, 'obj': 1.0, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 0.2, 'mixup': 0.0}, 'epochs': 40, 'batch_size': 128, 'img_size': [640, 640], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'images_weights': False, 'device': '0', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 8, 'project': 'runs/train', 'entity': None, 'name': 'exp', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs/train/exp35', 'total_batch_size': 128}
2023-05-25 17:13:02,977 INFO    MainThread:80353 [wandb_init.py:init():596] starting backend
2023-05-25 17:13:02,977 INFO    MainThread:80353 [wandb_init.py:init():600] setting up manager
2023-05-25 17:13:02,992 INFO    MainThread:80353 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-25 17:13:02,999 INFO    MainThread:80353 [wandb_init.py:init():606] backend started and connected
2023-05-25 17:13:03,028 INFO    MainThread:80353 [wandb_init.py:init():700] updated telemetry
2023-05-25 17:13:03,037 INFO    MainThread:80353 [wandb_init.py:init():787] starting run threads in backend
2023-05-25 17:13:05,699 INFO    MainThread:80353 [wandb_run.py:_console_start():2158] atexit reg
2023-05-25 17:13:05,700 INFO    MainThread:80353 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-25 17:13:05,701 INFO    MainThread:80353 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-25 17:13:05,701 INFO    MainThread:80353 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-25 17:13:05,702 INFO    MainThread:80353 [wandb_init.py:init():829] run started, returning control to user process
2023-05-25 17:13:05,703 INFO    MainThread:80353 [wandb_config.py:__setitem__():151] config set opt = {'weights': 'v5lite-e.pt', 'cfg': './models/v5lite-e.yaml', 'data': './data/coco128.yaml', 'hyp': {'lr0': 0.001, 'lrf': 0.2, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.5, 'cls_pw': 1.0, 'obj': 1.0, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 0.2, 'mixup': 0.0}, 'epochs': 40, 'batch_size': 128, 'img_size': [640, 640], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'images_weights': False, 'device': '0', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 8, 'project': 'runs/train', 'entity': None, 'name': 'exp', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs/train/exp35', 'total_batch_size': 128} - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f974c3ad1d0>>
